Class	Class Name	Description	Career	Offered	Enrollment Requirement	Grading Basis	Course Components	Equivalent To
CSC 552	 Advanced Operating Systems (3 units)	Operating system design, implementation and modeling; deadlock and memory management models; protection mechanisms; operating systems for parallel and distributed systems.	Graduate	 Spring	None	Regular Grades	Lecture        Required	None
CSC 553	 Principles of Compilation (3 units)	Detailed study of advanced compilation: translator writing systems, attribute grammars, flow analysis, optimization, register allocation, code generation, compiling for modern architectures.	Graduate	 Fall, Spring	None	Regular Grades	Lecture        Required	None
CSC 555	 Philosophy and Artificial Intelligence (3 units)	Interdisciplinary problems lying at the interface of philosophy and artificial intelligence. Courses for which students receive the grade of P (Pass) do not satisfy requirements for the M.A. or Ph.D. or minor in philosophy. Graduate-level requirements include an in-depth research paper on a central theme or topic of the course.	Graduate	 Spring	None	Student Option ABCDE/PF	Lecture        Required	COGS 555, CSC 555, PSY 555
CSC 560	 Database Systems Implementation (3 units)	Emphasis on DBMS architecture and implementation issues such as storage structures, multidimensional index structures, query optimization, concurrency control and recovery, and parallel database systems.	Graduate	 Fall	None	Regular Grades	Lecture        Required	None
CSC 566	 Computer Security (3 units)	This is an introductory course covering the fundamentals of computer security. In particular, the course will cover basic concepts of computer security such as threat models and security policies, and will show how these concepts apply to specific areas such as communication security, software security, operating systems security, network security, web security, and hardware-based security. Graduate-level requirements include an additional project/essay/in-class presentation.	Graduate	 Spring	None	Regular Grades	Lecture        Required	None
CSC 573	 Theory of Computation (3 units)	Chomsky hierarchy, undecidability; general recursive functions; recursion theory; computational complexity theory, NP-complete and provably intractable problems.	Graduate	 Fall	None	Regular Grades	Lecture        Required	MATH 573 Also offered as: MATH 573 Course typically offered:
CSC 574A	 Computer-Aided Logic Design (3 units)	Tabular minimization of single and multiple output Boolean functions, NMOS and CMOS realizations, synthesis of sequential circuits, RTL description, laboratory exercises.	Graduate	 Spring	None	Regular Grades	Lecture        Required	CSC 574A Also offered as: ECE 574A Co-convened with: CSC 474A Course typically offered:
CSC 576	 Computer Architecture (3 units)	Design of computers, including instruction set design, processor implementation, pipelining, memory hierarchy, vector processors, and parallel architectures. Emphasis on hardware and software tradeoffs.	Graduate	 Fall	None	Regular Grades	Lecture        Required	None
CSC 577	 Introduction to Computer Vision (3 units)	Overview of algorithms for analyzing image data. Topics include image formation, physics-based vision, linear filtering, edge detection, multiple view geometry, segmentation, tracking, and recognition. Graduate-level requirements include additional challenging assignments or a research oriented project and participate in the weekly vision group meeting. Grading basis: Regular Grades	Graduate	 Fall, Spring	None	None	Lecture        Required	COGS 577 Also offered as: COGS 577 Co-convened with: CSC 477 Course typically offered:
CSC 580	 Principles of Machine Learning (3 units)	Students will learn why machine learning is a fundamentally different way of writing computer programs from traditional programming, and why this is often an attractive way of solving practical problems. Machine learning is all about automatic ways for computers to collect and/or adapt to data to make better predictions and decisions or gain insight; students will learn both advantages and unique risks that this approach offers. They will learn the fundamental frameworks, computational methods, and algorithms that underlie current machine learning practice, and how to derive and implement many of them.	Graduate	 Spring	Graduate major or minor: CSC.	Regular Grades	Lecture        Required	None
CSC 581	 Advanced Computational Linguistics (3 units)	This course provides a hands-on project-based approach to particular problems and issues in computational linguistics.	Graduate	 Fall	None	Regular Grades	Lecture        Required	CSC 581 Also offered as: LING 581 Course typically offered:
CSC 583	 Text Retrieval and Web Search (3 units)	Most of the web data today consists of unstructured text. Of course, the fact that this data exists is irrelevant, unless it is made available such that users can quickly find information that is relevant for their needs. This course will cover the fundamental knowledge necessary to build these systems, such as web crawling, index construction and compression, Boolean, vector-based, and probabilistic retrieval models, text classification and clustering, link analysis algorithms such as PageRank, and computational advertising. The students will also complete one programming project, in which they will construct one complex application that combines multiple algorithms into a system that solves real-world problems.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Lecture        Required	None
CSC 585	 Algorithms for Natural Language Processing (3 units)	This course covers important algorithms useful for natural language processing (NLP), including distributional similarity algorithms such as word embeddings, recurrent and recursive neural networks (NN), probabilistic graphical models useful for sequence prediction, and parsing algorithms such as shift-reduce. This course will focus on the algorithms that underlie NLP, rather than the application of NLP to various problem domains.	Graduate	 Fall, Spring	None	Regular Grades	Lecture        Required	None
CSC 588	 Machine Learning Theory (3 units)	Students will learn how and when machine learning is possible/impossible as well as various algorithms with theoretical guarantees under minimal assumptions. Specifically, the course offers formulation of learning environments (e.g., stochastic and adversarial worlds with possibly limited feedback), fundamental limits of learning in these environments, various algorithms concerning sample efficiency, computational efficiency, and generality. Throughout, students will not only learn fundamental tools upholding the current understanding of machine learning systems in the research community but also develop skills of adapting these techniques to their own research needs such as developing new algorithms for large-scale, data-driven applications.	Graduate	 Fall, Spring, Summer	Graduate major or minor: CSC.	Regular Grades	Lecture        Required	None
CSC 593	 Internship (1 - 6 units)	Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study  Required	None
CSC 599	 Independent Study (1 - 4 units)	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 695A	 Graduate Colloquium (1 unit)	Presentation of current research topics in Computer Science.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Alternative Grading: S, P, F	Colloquium       Required Repeatable: Course can be repeated for a maximum of 7 units. Course typically offered:	None
CSC 696B	 Advanced Topics in Parallel, Distributed, and High-Performance Computing (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of parallel, distributed, and high-performance computing.  In this course, we will read and review research papers on parallel, distributed, and high-performance computing. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in parallel, distributed, or high-performance computing. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696C	 Advanced Topics in Computer Science (3 units)	This is a research-oriented seminar course addressing selected advanced current topics in computer science. The specific computer science domain will be selected based on current literature as well as faculty and student interests. Exemplar domains include computer architecture, cyber-physical systems, domain-specific applications, education, embedded & real-time systems, formal verification, operations research, robotics, software engineering, ubiquitous computing, and web technologies.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696D	 Advanced Topics in Visualization and Graphics (3 units)	This is a research-oriented seminar course addressing selected advanced current topics in visualization and graphics, broadly defined to include both the theory and applications. Exemplar domains include data visualization, computer graphics, computational geometry, visual analytics, data analysis, imaging, visual interfaces, geometric modeling, perception & cognition, computer-aided geometric design, display technologies, and virtual & augmented reality. Within a domain, topics will be selected based on current literature as well as faculty and student interests.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696E	 Advanced Topics in Algorithms (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of algorithms. In this course, we will read and review research papers on algorithms. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in algorithms. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696F	 Advanced Topics in Computer Systems (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of computer systems. In this course, we will read and review research papers on computer systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer systems. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696G	 Topics in Computational Linguistics (3 units)	The development and exchange of scholarly information, usually in a small group setting with an in depth investigation of computational linguistics theory and application. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers.	Graduate	 Fall, Spring	None	Regular Grades	Seminar        Required Repeatable: Course can be repeated for a maximum of 18 units. Equivalent to: CSC 696G	None
CSC 696H	 Advanced Topics in Artificial Intelligence (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of artificial intelligence. In this course, we will read and review research papers on artificial intelligence. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in artificial intelligence. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696I	 Advanced Topics in Security (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of computer security. In this course, we will read and review research papers on computer security. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer security. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696J	 Advanced Topics in Data Systems (3 units)	The goal of this graduate seminar course is to learn more about research in the general field of data systems. In this course, we will read and review research papers on data systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in data systems. Specific topics to be determined by current literature and faculty and student interest.	Graduate	 Fall, Spring	Graduate major or minor: CSC.	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 699	 Independent Study (1 - 4 units)	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 799	 Independent Study (1 - 4 units)	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 900	 Research (1 - 6 units)	Individual research, not related to thesis or dissertation preparation, by graduate students.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 910	 Thesis (1 - 6 units)	Research for the master's thesis (whether library research, laboratory or field observation or research, artistic creation, or thesis writing). Maximum total credit permitted varies with the major department.	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 920	 Dissertation (1 - 9 units)	Research for the doctoral dissertation (whether library research, laboratory or field observation or research, artistic creation, or dissertation writing).	Graduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
