CSC 101	This course introduces students to some of the big ideas in computer science. It will excite students about the application of computer science to various disciplines, and show the social impact possible through the use of technology in developing regions, politics, medicine, and other fields.	Enrollment in this course is not open to Computer Science majors.	Undergraduate	 Fall, Spring	Regular Grades	Lecture        Required	None
CSC 580	Students will learn why machine learning is a fundamentally different way of writing computer programs from traditional programming, and why this is often an attractive way of solving practical problems. Machine learning is all about automatic ways for computers to collect and/or adapt to data to make better predictions and decisions or gain insight; students will learn both advantages and unique risks that this approach offers. They will learn the fundamental frameworks, computational methods, and algorithms that underlie current machine learning practice, and how to derive and implement many of them.	Graduate major or minor: CSC.	Graduate	 Spring	Regular Grades	Lecture        Required	None
CSC 581	This course provides a hands-on project-based approach to particular problems and issues in computational linguistics.	None	Graduate	 Fall	Regular Grades	Lecture        Required	CSC 581 Also offered as: LING 581 Course typically offered:
CSC 583	Most of the web data today consists of unstructured text. Of course, the fact that this data exists is irrelevant, unless it is made available such that users can quickly find information that is relevant for their needs. This course will cover the fundamental knowledge necessary to build these systems, such as web crawling, index construction and compression, Boolean, vector-based, and probabilistic retrieval models, text classification and clustering, link analysis algorithms such as PageRank, and computational advertising. The students will also complete one programming project, in which they will construct one complex application that combines multiple algorithms into a system that solves real-world problems.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Lecture        Required	None
CSC 585	This course covers important algorithms useful for natural language processing (NLP), including distributional similarity algorithms such as word embeddings, recurrent and recursive neural networks (NN), probabilistic graphical models useful for sequence prediction, and parsing algorithms such as shift-reduce. This course will focus on the algorithms that underlie NLP, rather than the application of NLP to various problem domains.	None	Graduate	 Fall, Spring	Regular Grades	Lecture        Required	None
CSC 588	Students will learn how and when machine learning is possible/impossible as well as various algorithms with theoretical guarantees under minimal assumptions. Specifically, the course offers formulation of learning environments (e.g., stochastic and adversarial worlds with possibly limited feedback), fundamental limits of learning in these environments, various algorithms concerning sample efficiency, computational efficiency, and generality. Throughout, students will not only learn fundamental tools upholding the current understanding of machine learning systems in the research community but also develop skills of adapting these techniques to their own research needs such as developing new algorithms for large-scale, data-driven applications.	Graduate major or minor: CSC.	Graduate	 Fall, Spring, Summer	Regular Grades	Lecture        Required	None
CSC 593	Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study  Required	None
CSC 599	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 695A	Presentation of current research topics in Computer Science.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Colloquium       Required Repeatable: Course can be repeated for a maximum of 7 units. Course typically offered:	None
CSC 696B	The goal of this graduate seminar course is to learn more about research in the general field of parallel, distributed, and high-performance computing.  In this course, we will read and review research papers on parallel, distributed, and high-performance computing. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in parallel, distributed, or high-performance computing. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696C	This is a research-oriented seminar course addressing selected advanced current topics in computer science. The specific computer science domain will be selected based on current literature as well as faculty and student interests. Exemplar domains include computer architecture, cyber-physical systems, domain-specific applications, education, embedded & real-time systems, formal verification, operations research, robotics, software engineering, ubiquitous computing, and web technologies.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696D	This is a research-oriented seminar course addressing selected advanced current topics in visualization and graphics, broadly defined to include both the theory and applications. Exemplar domains include data visualization, computer graphics, computational geometry, visual analytics, data analysis, imaging, visual interfaces, geometric modeling, perception & cognition, computer-aided geometric design, display technologies, and virtual & augmented reality. Within a domain, topics will be selected based on current literature as well as faculty and student interests.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696E	The goal of this graduate seminar course is to learn more about research in the general field of algorithms. In this course, we will read and review research papers on algorithms. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in algorithms. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696F	The goal of this graduate seminar course is to learn more about research in the general field of computer systems. In this course, we will read and review research papers on computer systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer systems. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696G	The development and exchange of scholarly information, usually in a small group setting with an in depth investigation of computational linguistics theory and application. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers.	None	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated for a maximum of 18 units. Equivalent to: CSC 696G	None
CSC 696H	The goal of this graduate seminar course is to learn more about research in the general field of artificial intelligence. In this course, we will read and review research papers on artificial intelligence. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in artificial intelligence. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696I	The goal of this graduate seminar course is to learn more about research in the general field of computer security. In this course, we will read and review research papers on computer security. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer security. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 696J	The goal of this graduate seminar course is to learn more about research in the general field of data systems. In this course, we will read and review research papers on data systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in data systems. Specific topics to be determined by current literature and faculty and student interest.	Graduate major or minor: CSC.	Graduate	 Fall, Spring	Regular Grades	Seminar        Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 699	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 799	Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 900	Individual research, not related to thesis or dissertation preparation, by graduate students.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 910	Research for the master's thesis (whether library research, laboratory or field observation or research, artistic creation, or thesis writing). Maximum total credit permitted varies with the major department.	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 920	Research for the doctoral dissertation (whether library research, laboratory or field observation or research, artistic creation, or dissertation writing).	None	Graduate	 Fall, Spring	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
